# format: T+HH:MM:SS | wall | epoch | speaker(MBTI/trait) -> listener | text
T+00:00:13 | 01:46:51 | 1784566011000 | 風間エマ#b5b(INFJ/心配性) -> None | よし、道具作成のために原木を収集するは達成だ。
T+00:00:54 | 01:47:32 | 1784566052000 | 柏木ダイ#8f4(ENFP/強欲) -> 月島レン#153 | レンさんはツルハシを作るのですね、それは心強いです。私は食料が全くないので、この辺りを散策して何か食べられるものがないか探してみようと思っています。レンさんは、もし石や鉱石を見つけたら、今後のために教えていただけたりしませんか？
T+00:00:55 | 01:47:33 | 1784566053000 | 西森オト#ff3(INTP/臆病) -> 小柳イオ#e51 | 小柳イオさん、ご親切にありがとうございます。作業台の場所の共有はとても心強いですが、今は拠点の静かな環境で少し頭を冷やしたいので、またの機会にさせてください。それでは、私はこれで失礼します。
T+00:00:55 | 01:47:33 | 1784566053000 | 真砂アル#ef2(ESFJ/強欲) -> None | 川原フウ、他人の方針を尊重できないなら勝手にすればいい。私は私の計画通りに原木を伐採して作業台とツルハシを最速で整える。全員、邪魔にならないように動いてくれ。
T+00:00:56 | 01:47:34 | 1784566054000 | 東雲エマ#e65(ISFP/正義感が強い) -> None | よし、木製の作業台と木のツルハシを作るは達成だ。
T+00:00:56 | 01:47:34 | 1784566054000 | 月島レン#153(ESTJ/好奇心旺盛) -> 柏木ダイ#8f4 | 分かった。石や鉱石を発見した際には共有しよう。相互に情報を交換し合うことは全体効率の観点からも合理的だ。私はこれで作業台へ向かい、ツルハシを仕上げる。
T+00:00:57 | 01:47:35 | 1784566055000 | 小柳イオ#e51(ESFJ/皮肉屋) -> 西森オト#ff3 | そうですか、それは残念です。静寂を愛するのも結構ですが、この村で生き残るには多少の騒音に慣れる順応性も必要ですよ。私はこれから作業台に向かい、本格的な道具作りに取り掛かるとします。
T+00:00:58 | 01:47:36 | 1784566056000 | 小柳ハル#dea(ESFJ/正義感が強い) -> 桜井ボブ#482 | はじめまして、小柳ハルです。私は今、周囲の安全を確保するために南側一帯の原木を伐採してたいまつを作る予定よ。あなたはこれからどのような作業をするのかしら？効率的に動いて、早く村を快適な場所にしましょう。
T+00:00:59 | 01:47:37 | 1784566057000 | 風間ダイ#f7c(INTP/心配性) -> None | よし、木製のツルハシを作って備えるは達成だ。
T+00:01:01 | 01:47:39 | 1784566059000 | 桜井ボブ#482(ESFP/頑固) -> 小柳ハル#dea | はじめまして、桜井ボブです！南側一帯を明るく安全にするという計画、とても素敵だね。私も拠点の東側で原木を調達して、みんなで安心して過ごせる場所にするために頑張るよ。それじゃあ、お互い効率よく作業を進めていこう！
T+00:01:01 | 01:47:39 | 1784566059000 | 風間ダイ#f7c(INTP/心配性) -> None | はじめまして、風間ダイです。木製の道具を整えたところですが、この先のリスクに備えてかまどを作るか検討しています。皆さんはこの後、何か予定はありますか？
T+00:01:01 | 01:47:39 | 1784566059000 | 小柳イオ#e51(ESFJ/皮肉屋) -> None | よし、木製のツルハシを作成する。は達成だ。
T+00:01:03 | 01:47:41 | 1784566061000 | 小柳ハル#dea(ESFJ/正義感が強い) -> 桜井ボブ#482 | ボブ、その意気よ。お互い持ち場をしっかり守って、迅速に作業を終わらせましょう。私はこの南側で原木を伐採して、すぐさま松明作りに取り掛かるわ。
T+00:01:03 | 01:47:41 | 1784566061000 | 月島レン#153(ESTJ/好奇心旺盛) -> None | はじめまして、月島レンだ。私は木製ツルハシを完成させたので、これから石を確保しに行く。効率を考えれば、かまどより先に道具のアップグレードを優先すべきだろう。
T+00:01:04 | 01:47:42 | 1784566062000 | 石川ソラ#b94(ESTP/頑固) -> None | よし、チェストを製作して設置するは達成だ。
T+00:01:05 | 01:47:43 | 1784566063000 | 桜井ボブ#482(ESFP/頑固) -> 小柳ハル#dea | その意気だね！ハルさんの迅速な仕事ぶりには感服するよ。お互い持ち場をしっかり守って、明るく快適な村を作ろう。それじゃあ、私は拠点の東側へ原木を伐採しに行くよ！
T+00:01:05 | 01:47:43 | 1784566063000 | 川原コウ#cb6(ENTJ/正義感が強い) -> None | はじめまして、川原コウだ。月島の言う通り、石の確保による道具のアップグレードが最優先だ。私はこれより採石場へ向かい、効率的な採掘を開始する。
T+00:01:06 | 01:47:44 | 1784566064000 | 南田ボブ#4f3(ENFJ/心配性) -> None | よし、作業台で木製のツルハシを作るは達成だ。
T+00:01:07 | 01:47:45 | 1784566065000 | 大川オト#72a(ESFJ/心配性) -> None | はじめまして、大川オトだ。コウの言う通り、効率を無視した備えなど無意味だ。私は即座に採石場へ向かい、石の確保を最優先で完了させる。君たちも無駄な時間を過ごすなよ。
T+00:01:08 | 01:47:46 | 1784566066000 | 川原フウ#f33(ENFP/心配性) -> None | よし、作業台で木のツルハシを作るは達成だ。
T+00:01:09 | 01:47:47 | 1784566067000 | 風間ダイ#f7c(INTP/心配性) -> None | 皆さん、ご意見ありがとうございます。効率を考慮し、私も採石場で石を確保して道具を石製にアップグレードすることにします。それでは、早速向かいます。
T+00:01:11 | 01:47:49 | 1784566069000 | 月島レン#153(ESTJ/好奇心旺盛) -> None | 全員の認識が一致したようだな。無駄な時間を減らすため、各自速やかに採石場へ向かおう。私はこれより採石場へ移動し、石を掘る。
T+00:01:12 | 01:47:50 | 1784566070000 | 浜田イオ#796(INFJ/心配性) -> None | よし、原木を6個収集して拠点整備の準備をするは達成だ。
T+00:01:13 | 01:47:51 | 1784566071000 | 谷口アル#a65(INTJ/のんき) -> None | よし、木製のツルハシと斧を作成するは達成だ。
T+00:01:13 | 01:47:51 | 1784566071000 | 川原コウ#cb6(ENTJ/正義感が強い) -> None | 全員の意思は固まったな。無駄話は終わりだ、直ちに採石場へ向かい石を確保するぞ。
T+00:01:15 | 01:47:53 | 1784566073000 | 小柳イオ#e51(ESFJ/皮肉屋) -> 林ソラ#017 | はじめまして、小柳イオと申します。私はこれから石材を集めてより頑丈な道具を作ろうとしているのですが、林ソラさんはここで何をして過ごされているのですか？
T+00:01:15 | 01:47:53 | 1784566073000 | 大川オト#72a(ESFJ/心配性) -> None | 全員の意思は確認した。無駄話は終わりだ、直ちに採石場へ移動して石を掘り始めるぞ！
T+00:01:17 | 01:47:55 | 1784566075000 | 真砂コウ#124(INFP/強欲) -> None | よし、原木を10個新しく収集するは達成だ。
T+00:01:17 | 01:47:55 | 1784566075000 | 林ソラ#017(ISTP/正義感が強い) -> 小柳イオ#e51 | はじめまして、林ソラだ。俺は道具を作るために原木を集めて回っている。石材なら南西の採石場にいくつかあるはずだから、そこを見てくるといい。俺は榎本ソラと合流する予定があるから、これで失礼する。
T+00:01:19 | 01:47:57 | 1784566077000 | 林カイ#48a(ISFP/皮肉屋) -> None | よし、拠点にチェストを設置するは達成だ。
T+00:01:19 | 01:47:57 | 1784566077000 | 小柳イオ#e51(ESFJ/皮肉屋) -> 林ソラ#017 | 南西の採石場ですね、助言を感謝します。榎本さんと合流するとのことですが、お互い道具の製作に励む身、良い作業ができるといいですね。私はこれからその採石場へ向かい、石材を確保する予定です。
T+00:01:20 | 01:47:58 | 1784566078000 | 月島レン#153(ESTJ/好奇心旺盛) -> None | よし、作業台で木製のツルハシをクラフトし、石の道具へアップグレードする準備を整えるは達成だ。
T+00:01:20 | 01:47:58 | 1784566078000 | 川原コウ#cb6(ENTJ/正義感が強い) -> None | よし、木製の作業台とツルハシを作成するは達成だ。
T+00:01:21 | 01:47:59 | 1784566079000 | 林カイ#48a(ISFP/皮肉屋) -> None | はじめまして、林カイです。せわしない場所ですが、皆さんは何をしているんですか？私は拠点を整理して少し休む予定なので、手短にお願いしますね。
T+00:01:22 | 01:48:00 | 1784566080000 | 林ソラ#017(ISTP/正義感が強い) -> 小柳イオ#e51 | ああ、石材の確保頑張れ。俺はこれから榎本と合流して作業を開始する。それじゃあな。
T+00:01:23 | 01:48:01 | 1784566081000 | 風間エマ#b5b(INFJ/心配性) -> None | はじめまして、風間エマです。私は今から石のツルハシを作るために素材を加工する予定です。効率を上げるのが先決なので、これにて失礼します。
T+00:01:25 | 01:48:03 | 1784566083000 | 風間ダイ#f7c(INTP/心配性) -> None | 林さん、はじめまして。私は北側の採石場へ向かい、石を確保して道具を石製へアップグレードする予定です。それでは、作業に戻らせていただきます。
T+00:01:26 | 01:48:04 | 1784566084000 | 真砂アル#ef2(ESFJ/強欲) -> None | よし、作業台で木材を加工し、木のツルハシを作成する。は達成だ。
T+00:01:27 | 01:48:05 | 1784566085000 | 小柳ハル#dea(ESFJ/正義感が強い) -> None | よし、南側エリアで原木を3つ集めるは達成だ。
T+00:01:27 | 01:48:05 | 1784566085000 | 月島レン#153(ESTJ/好奇心旺盛) -> None | 林さん、私は採石場で石を掘り、石製の道具へ切り替える。効率を重視し、各自速やかに持ち場へ移動しよう。
T+00:01:29 | 01:48:07 | 1784566087000 | 林カイ#48a(ISFP/皮肉屋) -> None | 皆さん随分と熱心ですね。私は拠点のチェスト整理が終わったら、少し休憩することにしますので、これにて失礼。
T+00:01:30 | 01:48:08 | 1784566088000 | 浜田イオ#796(INFJ/心配性) -> None | よし、作業台を使って木のツルハシを作るは達成だ。
T+00:01:31 | 01:48:09 | 1784566089000 | 真砂コウ#124(INFP/強欲) -> None | よし、木製のツルハシを作って石を採掘する準備を整えるは達成だ。
T+00:01:31 | 01:48:09 | 1784566089000 | 真砂アル#ef2(ESFJ/強欲) -> 榎本ソラ#3f3 | はじめまして、真砂アルだ。私は今、木材の加工を終えて採石場へ向かい、拠点強化のための石を確保しようとしているところだ。君はここで何をしているんだ？
T+00:01:31 | 01:48:09 | 1784566089000 | 風間エマ#b5b(INFJ/心配性) -> None | 効率重視という方針には賛同します。では、私はこれから作業台へ向かい木製の道具を作りますので、これで失礼します。
T+00:01:32 | 01:48:10 | 1784566090000 | 桜井ボブ#482(ESFP/頑固) -> None | よし、拠点の東側で原木を3つ伐採するは達成だ。
T+00:01:33 | 01:48:11 | 1784566091000 | 榎本ソラ#3f3(ESFP/好奇心旺盛) -> 真砂アル#ef2 | はじめまして、榎本ソラです！私は今、木材を集めて仲間と作業台を共有する約束をしているので、これからそちらへ向かうところなんですよ。アルさんは採石場へ行くのですね、頑張ってください！
T+00:01:33 | 01:48:11 | 1784566091000 | 風間ダイ#f7c(INTP/心配性) -> None | 皆さん、方針が共有できて何よりです。私は計画通り、北側の採石場へ石を掘りに行ってきます。
T+00:01:35 | 01:48:13 | 1784566093000 | 月島レン#153(ESTJ/好奇心旺盛) -> None | 了解した。各自の持ち場へ急ごう。私は北側の採石場に向かい、石の確保を再開する。
T+00:01:36 | 01:48:14 | 1784566094000 | 真砂アル#ef2(ESFJ/強欲) -> 榎本ソラ#3f3 | ふん、仲間と共有だと？私の管理している作業台を無断で占拠するような真似は慎んでもらいたいものだ。効率的に動くつもりなら勝手だが、私の活動拠点には干渉するなよ。私はこれから採石場へ向かい、さらに石材を確保する。
T+00:01:38 | 01:48:16 | 1784566096000 | 榎本ソラ#3f3(ESFP/好奇心旺盛) -> 真砂アル#ef2 | なるほど、アルさんは採石場へ行かれるのですね。共有スペースについての考えは人それぞれですから、もちろん干渉したりはしませんよ！それでは私は林ソラさんとの作業を進めるために、彼を探しに行ってきますね。
T+00:01:46 | 01:48:24 | 1784566104000 | 林ソラ#017(ISTP/正義感が強い) -> None | よし、榎本ソラと協力して作業台を使い、木製のツルハシを作る。は達成だ。
T+00:01:46 | 01:48:24 | 1784566104000 | 大川イオ#5c4(ESFJ/心配性) -> None | よし、木製のツルハシを作って、石採掘の準備をする。は達成だ。
T+00:01:49 | 01:48:27 | 1784566107000 | 真砂コウ#124(INFP/強欲) -> None | よし、チェストを作成して拠点の資源を整理するは達成だ。
T+00:01:55 | 01:48:33 | 1784566113000 | 林ソラ#017(ISTP/正義感が強い) -> None | 榎本、原木の収集状況はどうだ？俺はツルハシを作ったから、南西の採石場で石を掘りに行くつもりだ。
T+00:01:55 | 01:48:33 | 1784566113000 | 大川イオ#5c4(ESFJ/心配性) -> None | よし、チェストを作成して拠点の整理基盤を整えるは達成だ。
T+00:01:57 | 01:48:35 | 1784566115000 | 榎本ソラ#3f3(ESFP/好奇心旺盛) -> None | 林ソラさん、おかげさまで原木は4つ集まりました！もしよろしければ、この近くの作業台を使って一緒に道具作りをしませんか？
T+00:01:57 | 01:48:35 | 1784566115000 | 小柳ハル#dea(ESFJ/正義感が強い) -> None | よし、作業台を使って木のツルハシを作るは達成だ。
T+00:01:59 | 01:48:37 | 1784566117000 | 石川エマ#0c5(INTJ/頑固) -> None | 林、石を掘るという判断は評価する。私は既に木材の段階を終えたので、予定通り単独で南西の採石場へ向かい石を採掘する。
T+00:02:01 | 01:48:39 | 1784566119000 | 林ソラ#017(ISTP/正義感が強い) -> None | 榎本、作業台での道具作りを進めてくれ。石川、採石場でバッティングするのも効率が悪い。俺が先に掘り始めるから、後はうまく立ち回ろう。
T+00:02:03 | 01:48:41 | 1784566121000 | 榎本ソラ#3f3(ESFP/好奇心旺盛) -> None | 林ソラさん、了解しました！それなら私はここで作業台を使って道具を整えてから、また後で合流できるように頑張りますね。
T+00:02:05 | 01:48:43 | 1784566123000 | 石川エマ#0c5(INTJ/頑固) -> None | 林、効率的な提案だ。ではお前が掘り終えるまでの間、私は付近の資源を回収して石のツルハシを作る準備を完了させる。
T+00:02:08 | 01:48:46 | 1784566126000 | 桜井ボブ#482(ESFP/頑固) -> None | よし、木のツルハシを作るは達成だ。
T+00:02:10 | 01:48:48 | 1784566128000 | 大川イオ#5c4(ESFJ/心配性) -> None | はじめまして、大川イオと申しますね。私は今、より快適な居住環境を整えるために石材を採掘しようと考えているのですが、皆さんはこの付近で何か作業をされる予定ですか？
